respondent_id,tool_primary,use_case,satisfaction_score,ease_of_use,accuracy_rating,would_recommend,monthly_usage_hours
1,ChatGPT,writing,8,9,7,yes,20
2,Claude,coding,9,8,9,yes,35
3,Gemini,research,7,8,7,yes,15
4,ChatGPT,coding,7,7,7,no,10
5,Claude,writing,9,9,8,yes,25
6,Gemini,coding,6,7,6,no,8
7,ChatGPT,research,8,8,8,yes,18
8,Claude,research,8,8,9,yes,22
9,Gemini,writing,7,9,7,yes,12
10,ChatGPT,coding,8,7,8,yes,30
11,Claude,coding,9,9,9,yes,40
12,Gemini,research,8,8,8,yes,20
13,ChatGPT,writing,9,9,8,yes,28
14,Claude,writing,8,8,8,yes,17
15,Gemini,coding,6,6,6,no,9
16,ChatGPT,research,7,8,7,yes,14
17,Claude,coding,10,9,10,yes,45
18,Gemini,writing,8,9,7,yes,16
19,ChatGPT,coding,8,7,8,yes,26
20,Claude,research,9,8,9,yes,23
21,Gemini,research,7,7,7,yes,11
22,ChatGPT,writing,8,9,7,yes,19
23,Claude,writing,9,9,9,yes,24
24,Gemini,coding,7,7,7,no,10
25,ChatGPT,coding,7,7,7,yes,22
26,Claude,coding,9,8,9,yes,38
27,Gemini,writing,8,9,8,yes,15
28,ChatGPT,research,8,8,8,yes,17
29,Claude,research,8,9,8,yes,21
30,Gemini,coding,6,7,6,no,7
